 Nº SABO ;N° TMS;Descripción;Aplicación;MARCA;PRECIO LISTA;;
75018;75018;Junta del carter;Motor GM 1.6L - 16 válvulas EFI / MPFI- Corsa / Tigra;GM;8.811,43;;
75019;75019;Junta de la tapa de válvulas;Motor GM 1.0 / 1.6L 16 válvulas EFI / MPFI - Corsa 2000 a 2003 ;GM;8.698,77;;
75022;75022;Junta de la tapa de válvulas;Motor Ford Zetec Rocam SOHC 1.0L / 1.6L  - Fiesta / Ka / Courier / Escort / EcoSport / Focus;FORD;5.335,14;;
75028;75028;Junta de la tapa de válvulas;Motor VW AT 1.0L 8 válvulas Gol 1997 a 2002;VW;7.379,07;;
75043;75043;Junta de la tapa de válvulas;Motor MWM X10 - Aspirado / Turbo;MWM;1.247,28;;
75056;75056;Junta de la tapa de válvulas;Motor Cummins 6B / 6BT / 6BTA 5.9L - 6 Cilindros;CUMMINS;14.758,14;;
75057;75057;Junta de la tapa de válvulas;Motor Cummins 4B / 4BT 3.9L - 4 Cilindros;CUMMINS;10.131,13;;
75058;75058;Junta de la tapa de válvulas;Motor Cummins 6C / 6CT / 6CTA 8.3L - 6 Cilindros;CUMMINS;8.586,11;;
75060;75060;Junta de la tapa de válvulas;Motor Volvo N/N10/B58/B10MTHD 10KC 100G - TD101GTD;VOLVO;1.384,08;;
75062;75062;Junta de la tapa de válvulas;Motor Volvo N/NL12 TD121G - TD120GA - TD121F TD 122FS EDC ;VOLVO;1.215,09;;
75064;75064;Juego de anillos de camisa;Motor Cummins 6C / 6CT / 6CTA - 8.3L ;CUMMINS;3.299,26;;
75110;75110;Cinta de Camisa de Cilindro;Motor Scania DSC11 - 113 / 114 Ecológico / DS14 ;SCANIA;4.956,93;;
75120;75120;Juego de anillos de camisa;Motor Scania DSC11 - 113 / 114 Ecológico / DS14 ;SCANIA;10.243,79;;
75262;75262;Juego de juntas de tapa de valvulas ;Motor GM Ecotec 1,8L/16V//Vehiculos CRUZE,TRACKER,SONIC;GM;19.554,13;;
75295;75295;Junta de la tapa de válvulas;Motor MB OM 611 - Accelo / Sprinter;MB;27.802,27;;
75297;75297;Junta de la tapa de válvulas;GM MOTOR LAQ B12D1/LMU //LAQ;GM;4.852,31;;
75305;75305;Junta de la tapa de válvulas;FIAT MOBI 1,0L8V(2017/...) FIRE EVO 1,4L 8V;FIAT;7.588,29;;
75308;75308;Junta de tapa de valvulas;Motor Firefly 1.3L 8v 4cils SOHC - Vehiculos: ARGO/CRONOS/PULSE/STRADA/UNO;FIAT;11.225,52;;
75312;75312;Junta de la tapa de válvulas;Motor SCANIA DC11/DC12 EURO 4-DC13 EURO 5 SERIE 6 24 V P/G/R/K 2012/...;SCANIA;4.956,93;;
75313;75313;Junta de la tapa de válvulas; Scania P / G / R - Série 5  - DC12 / DT12 ( 2008 a 2011 ) /DC11EURO 4 DC13 EURO5  SERIE 6 6CIL. 24V P/G/R/K;SCANIA;8.256,18;;
75317;75317;Junta de la tapa de válvulas;Motor GM 1,8 L 16V. (Ecotec )-CRUZE 2011/...;GM;15.393,84;;
75325;75325;Junta de la tapa de válvulas;Motor Maxion Perkins Gemini HSD 2.5L / 2.8L Turbo Diesel - GM S10 - Blazer / MB Sprinter / Ford Ranger;FORD;3.967,15;;
75403;75403;Junta de la tapa de válvulas;Motor TU3JP 1,4L 8V // Citroen C3 /Peugeot 206/207;RENAULT;10.790,98;;
75404;75404;Juego Juntas Tapa Valvulas ;Motor E- TORQ 1,8L 16V (2015/...)TORO,ARGO,CRONOS,DOBLO,GRAND SIENA,PALIO STRADA,PALIO WEEKEND,PUNTO,JEEP-RENEGADE;FIAT;23.255,73;;
75405;75405;Junta de la tapa de válvulas;Motor Fiat E-torq 1.6/1.8L 16V.2010/... - Palio/Ideia/Grand Siena - Álcool / Gasolina / Flex;FIAT;22.024,54;;
75406;75406;Junta  tapa de distribución;Motor Fiat E-torq 1.6/1.8L 16V.2010/... - Palio/Ideia/Grand Siena - Álcool / Gasolina / Flex;FIAT;4.844,27;;
75407;75407;Junta del carter;Motor Renault K7M 1.6L 8V. 1996/... - Clio Hatch, Kangoo, Logan, Megane Hatch, Sandero, Symbol - Álcool / Gasolina / Flex;RENAULT;10.018,47;;
75408;75408;Junta multiple de admisión;Motor Renault K7M 1.6L 8V. 1996/... - Clio Hatch, Kangoo, Logan, Megane Hatch, Sandero, Symbol - Álcool / Gasolina / Flex;RENAULT;2.969,33;;
75410;75410;Junta de la tapa de válvulas;Motor 1.0L 8V / 1.4L 8V - SPE/4 - Novo Prisma (13/...) / Onix (12/...);GM;5.729,44;;
75411;75411;Junta de la tapa de válvulas;Peugeot/ Citroen motor EW10J4 2,0L;PEUGEOT;12.440,61;;
75414;75414;Junta del carter;Motor Renault F4R 2.0L 16V(Duster 2011/20123/Megane 2003/Oroch 2015 / sandero 2016/ Scenic 2002/,,,,;RENAULT;6.493,91;;
